Date,Price,Volume,Sentiment,Trend
2024-01-02,149.92999267578125,47339400,0.231856,66
2024-01-03,148.47000122070312,49425500,0.1460188679245283,60
2024-01-04,144.57000732421875,56039800,0.18297704918032787,64
2024-01-05,145.24000549316406,45124800,0.16754893617021277,64
2024-01-08,149.10000610351562,46757100,0.22157755102040816,60
2024-01-09,151.3699951171875,43812600,0.2189074074074074,69
2024-01-10,153.72999572753906,44421800,0.14325227272727273,72
2024-01-11,155.17999267578125,49072700,0.05773378378378379,78
2024-01-12,154.6199951171875,40460300,0.10763333333333333,70
2024-01-16,153.16000366210938,41384600,0.14925641025641026,60
2024-01-17,151.7100067138672,34953400,0.2184263157894737,55
2024-01-18,153.5,37850200,0.0922111111111111,55
2024-01-19,155.33999633789062,51033700,0.1123529411764706,63
2024-01-22,154.77999877929688,43687500,0.11755072463768117,63
2024-01-23,156.02000427246094,37986000,0.1702978723404255,67
2024-01-24,156.8699951171875,48547300,0.19586393442622949,80
2024-01-25,157.75,43638600,0.1266236842105263,75
2024-01-26,159.1199951171875,51047400,0.17091363636363638,81
2024-01-29,161.25999450683594,45270400,0.09731612903225806,85
2024-01-30,159.0,45207400,0.19778730158730157,94
2024-01-31,155.1999969482422,50284400,0.21202916666666669,100
2024-02-01,159.27999877929688,76542400,0.19110454545454544,83
2024-02-02,171.80999755859375,117154900,0.24708645833333334,100
2024-02-05,170.30999755859375,55081300,0.148775,39
2024-02-06,169.14999389648438,42505500,0.23588,34
2024-02-07,170.52999877929688,47174100,0.27118717948717946,33
2024-02-08,169.83999633789062,42316500,0.18413278688524592,33
2024-02-09,174.4499969482422,56986000,0.2237360655737705,34
2024-02-12,172.33999633789062,51050400,0.2611,33
2024-02-13,168.63999938964844,56345100,0.17856962025316456,31
2024-02-14,170.97999572753906,42815500,0.16935205479452056,31
2024-02-15,169.8000030517578,49855200,0.19409242424242423,29
2024-02-16,169.50999450683594,48074600,0.1618949152542373,29
2024-02-20,167.0800018310547,41980300,0.259775,29
2024-02-21,168.58999633789062,44575600,0.19231571428571428,32
2024-02-22,174.5800018310547,55392400,0.24580754716981135,36
2024-02-23,174.99000549316406,59715200,0.16765714285714287,32
2024-02-26,174.72999572753906,44368600,0.041654166666666666,25
2024-02-27,173.5399932861328,31141700,0.030338461538461543,24
2024-02-28,173.16000366210938,28180500,0.079414,22
2024-02-29,176.75999450683594,53805400,0.18924761904761905,25
2024-03-01,178.22000122070312,31956200,0.181,98
2024-03-04,177.5800018310547,37381500,0.11211346153846155,93
2024-03-05,174.1199951171875,37228300,0.2364575342465753,88
2024-03-06,173.50999450683594,32090900,0.2550325,82
2024-03-07,176.82000732421875,34063300,0.229690625,86
2024-03-08,175.35000610351562,37853500,0.11678333333333334,93
2024-03-11,171.9600067138672,28484800,0.19686410256410258,78
2024-03-12,175.38999938964844,36610600,0.22280930232558138,79
2024-03-13,176.55999755859375,30772600,0.12461666666666667,79
2024-03-14,178.75,43705800,0.23678709677419355,81
2024-03-15,174.4199981689453,72115500,0.18508,78
2024-03-18,174.47999572753906,31250700,0.17686428571428572,78
2024-03-19,175.89999389648438,26880900,0.21840769230769233,78
2024-03-20,178.14999389648438,29947200,0.14674444444444446,83
2024-03-21,178.14999389648438,32824300,0.19613478260869566,100
2024-03-22,178.8699951171875,27964100,0.17637111111111112,82
2024-03-25,179.7100067138672,29815500,0.2808,78
2024-03-26,178.3000030517578,29659000,0.17070212765957446,77
2024-03-27,179.8300018310547,33272600,0.015380851063829795,77
2024-03-28,180.3800048828125,38051600,0.14921632653061226,90
