Date,Price,Volume,Sentiment,Trend
2024-01-02,366.7073669433594,25258600,0.16679827586206897,24
2024-01-03,366.4404296875,23083500,0.21751764705882354,24
2024-01-04,363.8102416992188,20901500,0.08072777777777779,24
2024-01-05,363.6224670410156,20987000,0.15270666666666666,24
2024-01-08,370.4845275878906,23134000,0.178015625,24
2024-01-09,371.5721740722656,20830000,0.08652745098039215,25
2024-01-10,378.4738159179688,25514200,0.24375,29
2024-01-11,380.3129577636719,27850800,0.15324285714285713,37
2024-01-12,384.10986328125,21645700,0.14296301369863013,36
2024-01-16,385.8896179199219,27202300,0.09206119402985076,34
2024-01-17,385.0986633300781,22234100,0.19113414634146342,32
2024-01-18,389.4492492675781,23392100,0.13386307692307692,33
2024-01-19,394.19537353515625,29272000,0.0848530303030303,39
2024-01-22,392.0596008300781,27016900,0.15938695652173912,36
2024-01-23,394.42279052734375,20525900,0.19786296296296296,33
2024-01-24,398.0416870117188,24867000,0.15726666666666667,44
2024-01-25,400.3257751464844,21021200,0.07631612903225807,47
2024-01-26,399.3963317871094,17803300,0.09025,38
2024-01-29,405.1213684082031,24510200,0.13778915662650604,44
2024-01-30,404.0040283203125,33477600,0.17195714285714286,100
2024-01-31,393.1175842285156,47871100,0.04760444444444444,94
2024-02-01,399.24798583984375,30657700,0.14216805555555556,100
2024-02-02,406.6044921875,28245000,0.23887083333333334,90
2024-02-05,401.0970153808594,25352300,0.08404722222222222,61
2024-02-06,400.9388427734375,18382600,0.21412619047619047,60
2024-02-07,409.40277099609375,22340500,0.09565733333333333,62
2024-02-08,409.4620666503906,21225300,0.1273021739130435,68
2024-02-09,415.8298034667969,22032800,0.20488,71
2024-02-12,410.5991821289063,21202900,0.2224391304347826,60
2024-02-13,401.759521484375,27824900,0.11926153846153846,65
2024-02-14,405.6426696777344,20401200,0.0971875,61
2024-02-15,402.7402038574219,21825500,0.07700270270270271,62
2024-02-16,400.263671875,22281100,0.19364246575342464,61
2024-02-20,399.0056457519531,24307900,0.12384262295081966,57
2024-02-21,398.4013671875,18631100,0.20540434782608696,60
2024-02-22,407.7823791503906,27009900,0.16450188679245284,77
2024-02-23,406.4846801757813,16295900,0.13480175438596492,68
2024-02-26,403.7110290527344,16193500,0.1125376811594203,52
2024-02-27,403.6515808105469,14835800,0.048936363636363646,53
2024-02-28,403.8892822265625,13183100,0.1746,45
2024-02-29,409.7536926269531,31947300,0.11060153846153846,50
2024-03-01,411.5962219238281,17800300,0.11731641791044777,95
2024-03-04,411.0216979980469,17596000,0.13863958333333334,81
2024-03-05,398.8669128417969,26919200,0.1313304347826087,93
2024-03-06,398.3122253417969,22344100,0.09134915254237289,95
2024-03-07,405.2960205078125,18718500,0.12191346153846154,92
2024-03-08,402.4034118652344,17971700,0.054043548387096775,87
2024-03-11,400.7193908691406,16120800,0.15128363636363637,72
2024-03-12,411.3782653808594,22457000,0.14263783783783782,84
2024-03-13,411.199951171875,17115900,0.07072467532467533,81
2024-03-14,421.224853515625,34157300,0.10683898305084745,100
2024-03-15,412.507568359375,45049800,0.11353802816901408,92
2024-03-18,413.3990783691406,20106000,0.1323132075471698,83
2024-03-19,417.45068359375,19837900,0.15792857142857142,95
2024-03-20,421.2348327636719,17860100,0.08838103448275862,96
2024-03-21,425.3359069824219,21296200,0.14186666666666667,94
2024-03-22,424.71185302734375,17636500,0.115066,86
2024-03-25,418.8870544433594,18060500,0.1257,85
2024-03-26,417.6883850097656,16725600,0.11724186046511628,76
2024-03-27,417.470458984375,16705000,0.08802045454545454,84
2024-03-28,416.7671508789063,21871200,0.21397708333333332,71
